#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
29859,1983-05-15 16:11:00,40.8267,14.1475,3.2,D,3.4,0.3,flegrei,earthquake,Rivisto
29860,1983-09-01 21:04:00,40.8205,14.1448,2.6,D,3.4,0.3,flegrei,earthquake,Rivisto
29861,1983-09-04 11:31:00,40.8273,14.131,2.7,D,3.6,0.3,flegrei,earthquake,Rivisto
29862,1983-10-04 07:09:00,40.8252,14.1325,2.33,D,4,0.3,flegrei,earthquake,Rivisto
29863,1983-10-05 22:00:00,40.8005,14.1212,3.65,D,3,0.3,flegrei,earthquake,Rivisto
29864,1983-10-13 05:52:00,40.83,14.1202,2,D,3,0.3,flegrei,earthquake,Rivisto
29865,1983-11-15 10:49:00,40.823,14.1452,2.11,D,3.3,0.3,flegrei,earthquake,Rivisto
29866,1983-11-24 07:59:00,40.8233,14.1398,2.01,D,3,0.3,flegrei,earthquake,Rivisto
29867,1983-12-16 12:44:00,40.8025,14.1165,3.72,D,3.1,0.3,flegrei,earthquake,Rivisto
29868,1983-12-20 20:20:00,40.8175,14.1442,2.11,D,3.8,0.3,flegrei,earthquake,Rivisto
29869,1983-12-21 14:42:00,40.805,14.109,3.52,D,3,0.3,flegrei,earthquake,Rivisto
30153,1983-12-30 22:19:00,40.8265,14.1413,1.95,D,3.8,0.3,flegrei,earthquake,Rivisto
