channelName,subscribers,views,videos,likes,comments,date
Shashank Kalanithi,131000,5999713,152,176247,6618,2023-07-03
Luke Barousse,356000,16338321,135,585211,25966,2023-07-03
Alex The Analyst,510000,20425366,219,585404,42415,2023-07-03
Rob Mulla,92000,5265611,126,239444,8750,2023-07-03
Ken Jee,246000,8208213,277,308200,27274,2023-07-03
codebasics,807000,54989430,620,1188349,70100,2023-07-03
Keith Galli,197000,13467374,78,286061,14836,2023-07-03
Data With Mo,34400,915403,22,36267,2367,2023-07-03
Tina Huang,552000,24086413,126,1085614,34679,2023-07-03
Thu Vu data analytics,152000,4774788,71,214792,7214,2023-07-03
