channelName,subscribers,views,videos,likes,comments,date
Thu Vu data analytics,152000,4768780,71,214627,7209,2023-07-02
Tina Huang,552000,24071937,126,1085290,34673,2023-07-02
codebasics,807000,54946966,620,1187812,70078,2023-07-02
Ken Jee,246000,8205866,277,308150,27273,2023-07-02
Keith Galli,197000,13462454,78,286000,14833,2023-07-02
Alex The Analyst,510000,20397551,219,584974,42393,2023-07-02
Rob Mulla,91800,5246070,126,238923,8734,2023-07-02
Data With Mo,34300,910080,22,36112,2358,2023-07-02
Luke Barousse,356000,16328565,135,584893,25966,2023-07-02
Shashank Kalanithi,131000,5997078,152,176193,6618,2023-07-02
